 Iteration #:           4
   Depth    K_x     K_t     K_y
   14.35    4.33    0.00    4.33
   15.29    4.27    0.00    4.27
   16.24    4.23    0.00    4.23
   17.18    4.18    0.00    4.18
   19.07    4.12    0.00    4.12
   20.96    4.06    0.00    4.06
   22.85    4.03    0.00    4.03
   24.74    4.02    0.00    4.02
   26.64    4.02    0.00    4.02
   28.52    4.04    0.00    4.04
   30.42    4.07    0.00    4.07
   32.31    4.12    0.00    4.12
   34.20    4.17    0.00    4.17
   36.09    4.23    0.00    4.23
   37.98    4.28    0.00    4.28
   40.81    4.34    0.00    4.34
   43.65    4.44    0.00    4.44
   46.48    4.53    0.00    4.53
   49.32    4.60    0.00    4.60
   52.16    4.64    0.00    4.64
   54.99    4.66    0.00    4.66
   57.83    4.65    0.00    4.65
   60.66    4.61    0.00    4.61
   63.50    4.55    0.00    4.55
   66.33    4.48    0.00    4.48
   69.17    4.36    0.00    4.36
   10.75    4.52    0.00    4.52
   11.57    4.47    0.00    4.47
   12.52    4.42    0.00    4.42
   13.46    4.36    0.00    4.36
   14.41    4.31    0.00    4.31
   15.35    4.26    0.00    4.26
   16.30    4.22    0.00    4.22
   17.24    4.17    0.00    4.17
   19.13    4.11    0.00    4.11
   21.02    4.06    0.00    4.06
   22.91    4.03    0.00    4.03
   24.80    4.02    0.00    4.02
   26.69    4.02    0.00    4.02
   28.58    4.04    0.00    4.04
   30.47    4.07    0.00    4.07
   32.36    4.12    0.00    4.12
   34.26    4.17    0.00    4.17
   36.15    4.23    0.00    4.23
   38.03    4.29    0.00    4.29
   40.87    4.35    0.00    4.35
   43.70    4.45    0.00    4.45
   46.54    4.54    0.00    4.54
   49.38    4.60    0.00    4.60
   52.21    4.65    0.00    4.65
   55.05    4.66    0.00    4.66
   57.88    4.65    0.00    4.65
   60.72    4.61    0.00    4.61
   63.55    4.55    0.00    4.55
   66.39    4.47    0.00    4.47
   69.22    4.36    0.00    4.36
   10.68    4.50    0.00    4.50
   11.65    4.45    0.00    4.45
   12.59    4.40    0.00    4.40
   13.54    4.35    0.00    4.35
   14.48    4.30    0.00    4.30
   15.43    4.25    0.00    4.25
   16.37    4.20    0.00    4.20
   17.32    4.16    0.00    4.16
   19.21    4.10    0.00    4.10
   21.10    4.05    0.00    4.05
   22.99    4.03    0.00    4.03
   24.88    4.02    0.00    4.02
